time,distance,Exists
2023-07-03 10:17:45,66.04cm,없음
2023-07-03 10:17:45,55.88cm,없음
2023-07-03 10:17:46,45.72cm,없음
2023-07-03 10:17:46,38.1cm,있음
2023-07-03 10:17:46,30.48cm,있음
2023-07-03 10:17:46,25.4cm,있음
2023-07-03 10:17:46,22.86cm,있음
2023-07-03 10:17:47,20.32cm,있음
2023-07-03 10:17:47,17.78cm,있음
2023-07-03 10:17:47,15.24cm,있음
2023-07-03 10:17:47,15.24cm,있음
2023-07-03 10:17:48,15.24cm,있음
2023-07-03 10:17:48,15.24cm,있음
2023-07-03 10:17:48,15.24cm,있음
2023-07-03 10:17:48,17.78cm,있음
2023-07-03 10:17:48,55.88cm,있음
2023-07-03 10:17:49,83.82cm,있음
2023-07-03 10:17:49,106.68cm,있음
2023-07-03 10:17:49,121.92cm,없음
2023-07-03 10:17:49,134.62cm,없음
2023-07-03 10:17:50,144.78cm,없음
2023-07-03 10:17:50,152.4cm,없음
2023-07-03 10:17:50,157.48cm,없음
2023-07-03 10:17:50,160.02cm,없음
2023-07-03 10:17:51,162.56cm,없음
2023-07-03 10:17:51,165.1cm,없음
2023-07-03 10:17:51,167.64cm,없음
2023-07-03 10:17:51,167.64cm,없음
2023-07-03 10:17:51,167.64cm,없음
2023-07-03 10:17:52,167.64cm,없음
2023-07-03 10:17:52,167.64cm,없음
2023-07-03 10:17:52,167.64cm,없음
2023-07-03 10:17:52,129.54cm,없음
2023-07-03 10:17:52,99.06cm,없음
2023-07-03 10:17:53,76.2cm,없음
2023-07-03 10:17:53,60.96cm,없음
2023-07-03 10:17:53,48.26cm,없음
2023-07-03 10:17:53,38.1cm,없음
2023-07-03 10:17:54,30.48cm,없음
2023-07-03 10:17:54,25.4cm,없음
2023-07-03 10:17:54,22.86cm,있음
2023-07-03 10:17:54,20.32cm,있음
2023-07-03 10:17:54,17.78cm,있음
2023-07-03 10:17:54,15.24cm,있음
2023-07-03 10:17:55,15.24cm,있음
2023-07-03 10:17:55,15.24cm,있음
2023-07-03 10:17:55,15.24cm,있음
2023-07-03 10:17:55,15.24cm,있음
2023-07-03 10:17:55,53.34cm,있음
2023-07-03 10:17:55,83.82cm,있음
2023-07-03 10:17:56,106.68cm,있음
2023-07-03 10:17:56,121.92cm,있음
2023-07-03 10:17:56,134.62cm,없음
2023-07-03 10:17:56,144.78cm,없음
2023-07-03 10:17:57,152.4cm,없음
2023-07-03 10:17:57,157.48cm,없음
2023-07-03 10:17:57,160.02cm,없음
2023-07-03 10:17:57,162.56cm,없음
2023-07-03 10:17:57,165.1cm,없음
2023-07-03 10:17:57,167.64cm,없음
2023-07-03 10:17:58,167.64cm,없음
2023-07-03 10:17:58,167.64cm,없음
2023-07-03 10:17:58,167.64cm,없음
2023-07-03 10:17:58,167.64cm,없음
2023-07-03 10:17:58,167.64cm,없음
2023-07-03 10:17:58,167.64cm,없음
2023-07-03 10:17:59,167.64cm,없음
2023-07-03 10:17:59,167.64cm,없음
2023-07-03 10:17:59,167.64cm,없음
2023-07-03 10:17:59,167.64cm,없음
2023-07-03 10:17:59,167.64cm,없음
2023-07-03 10:18:00,167.64cm,없음
2023-07-03 10:18:00,167.64cm,없음
2023-07-03 10:18:00,167.64cm,없음
2023-07-03 10:18:00,167.64cm,없음
2023-07-03 10:18:00,167.64cm,없음
2023-07-03 10:18:00,129.54cm,없음
2023-07-03 10:18:01,99.06cm,없음
2023-07-03 10:18:01,76.2cm,없음
2023-07-03 10:18:01,60.96cm,없음
2023-07-03 10:18:01,48.26cm,없음
2023-07-03 10:18:01,38.1cm,없음
2023-07-03 10:18:01,30.48cm,없음
2023-07-03 10:18:02,25.4cm,없음
2023-07-03 10:18:02,60.96cm,없음
2023-07-03 10:18:02,88.9cm,없음
2023-07-03 10:18:02,109.22cm,없음
2023-07-03 10:18:02,124.46cm,없음
2023-07-03 10:18:02,137.16cm,없음
2023-07-03 10:18:02,144.78cm,없음
2023-07-03 10:18:02,152.4cm,없음
2023-07-03 10:18:03,157.48cm,없음
2023-07-03 10:18:03,160.02cm,없음
2023-07-03 10:18:03,162.56cm,없음
2023-07-03 10:18:03,165.1cm,없음
2023-07-03 10:18:03,167.64cm,없음
2023-07-03 10:18:03,170.18cm,없음
2023-07-03 10:18:03,172.72cm,없음
2023-07-03 10:18:04,172.72cm,없음
2023-07-03 10:18:04,172.72cm,없음
